payment_id,timestamp,event_type,failure_code,diagnosis,action_taken,retry_count,compliance_check_result,llm_reasoning,resulting_state
pay_3gyrDO1xkxwnQr,2026-08-07 18:56:00,INGESTION,CARD_EXPIRED,None,Ingested failed payment record,0,PASS,,PENDING
pay_3gyrDO1xkxwnQr,2026-08-07 18:56:00,EXHAUSTED,CARD_EXPIRED,Decline Check,No retry attempted for non-transient decline code,0,PASS,Naive engine ignored this error class,EXHAUSTED
pay_TunPFz46PDjqip,2026-08-09 17:55:00,INGESTION,CHECKOUT_ABANDONED,None,Ingested failed payment record,0,PASS,,PENDING
pay_TunPFz46PDjqip,2026-08-09 17:55:00,EXHAUSTED,CHECKOUT_ABANDONED,Decline Check,No retry attempted for non-transient decline code,0,PASS,Naive engine ignored this error class,EXHAUSTED
pay_8aRUhR4IWrXPvh,2026-08-04 14:56:00,INGESTION,INSUFFICIENT_FUNDS,None,Ingested failed payment record,0,PASS,,PENDING
pay_8aRUhR4IWrXPvh,2026-08-04 14:56:00,EXHAUSTED,INSUFFICIENT_FUNDS,Decline Check,No retry attempted for non-transient decline code,0,PASS,Naive engine ignored this error class,EXHAUSTED
pay_1Ztpdp4K8ffUF0,2026-08-08 12:04:00,INGESTION,NETWORK_TIMEOUT,None,Ingested failed payment record,0,PASS,,PENDING
pay_1Ztpdp4K8ffUF0,2026-08-08 12:05:00,MOCK_PAYMENT_ATTEMPT,NETWORK_TIMEOUT,Naive Retry,Triggered automated retry on gateway,1,PASS,Naive blind retry failed. Giving up.,EXHAUSTED
pay_vbLJoLoaeTOdoe,2026-08-24 09:43:00,INGESTION,INSUFFICIENT_FUNDS,None,Ingested failed payment record,0,PASS,,PENDING
pay_vbLJoLoaeTOdoe,2026-08-24 09:43:00,EXHAUSTED,INSUFFICIENT_FUNDS,Decline Check,No retry attempted for non-transient decline code,0,PASS,Naive engine ignored this error class,EXHAUSTED
pay_PPgdzUvZ3gpmmI,2026-08-06 15:00:00,INGESTION,CARD_EXPIRED,None,Ingested failed payment record,0,PASS,,PENDING
pay_PPgdzUvZ3gpmmI,2026-08-06 15:00:00,EXHAUSTED,CARD_EXPIRED,Decline Check,No retry attempted for non-transient decline code,0,PASS,Naive engine ignored this error class,EXHAUSTED
pay_yq7YYDsBS9UYJQ,2026-08-08 15:07:00,INGESTION,NETWORK_TIMEOUT,None,Ingested failed payment record,0,PASS,,PENDING
pay_yq7YYDsBS9UYJQ,2026-08-08 15:08:00,MOCK_PAYMENT_ATTEMPT,NETWORK_TIMEOUT,Naive Retry,Triggered automated retry on gateway,1,PASS,Naive blind retry succeeded,RECOVERED
pay_84KpLMcNfAQLKH,2026-08-12 13:10:00,INGESTION,CARD_EXPIRED,None,Ingested failed payment record,0,PASS,,PENDING
pay_84KpLMcNfAQLKH,2026-08-12 13:10:00,EXHAUSTED,CARD_EXPIRED,Decline Check,No retry attempted for non-transient decline code,0,PASS,Naive engine ignored this error class,EXHAUSTED
pay_C1ITtNZPHaQ0Jt,2026-08-02 09:21:00,INGESTION,CARD_EXPIRED,None,Ingested failed payment record,0,PASS,,PENDING
pay_C1ITtNZPHaQ0Jt,2026-08-02 09:21:00,EXHAUSTED,CARD_EXPIRED,Decline Check,No retry attempted for non-transient decline code,0,PASS,Naive engine ignored this error class,EXHAUSTED
pay_XiOqkVCJTBJahe,2026-08-24 11:59:00,INGESTION,MANDATE_REVOKED,None,Ingested failed payment record,0,PASS,,PENDING
pay_XiOqkVCJTBJahe,2026-08-24 11:59:00,EXHAUSTED,MANDATE_REVOKED,Decline Check,No retry attempted for non-transient decline code,0,PASS,Naive engine ignored this error class,EXHAUSTED
pay_7p3kZZl4AblV7v,2026-08-13 14:17:00,INGESTION,MANDATE_REVOKED,None,Ingested failed payment record,0,PASS,,PENDING
pay_7p3kZZl4AblV7v,2026-08-13 14:17:00,EXHAUSTED,MANDATE_REVOKED,Decline Check,No retry attempted for non-transient decline code,0,PASS,Naive engine ignored this error class,EXHAUSTED
